"relative_path","bytes","lines","hash_sha1","is_binary","read_error","created_utc","modified_utc"
"tests\test_gui_minimal.py","1470","42","638517858E77F48D7EF72AEFBF22CABE1D2D1AA0","False","False","2025-10-27T04:39:38Z","2025-10-26T02:14:57Z"
"tests\test_gui_show.py","2138","62","3159F1524EA499FE35D669F4EC70C31FC0B8B58A","False","False","2025-10-27T04:39:38Z","2025-10-26T19:00:38Z"
"tests\test_gui_simple.py","765","35","7A0A5D37195A8A0A844F524E39445D40D842BE57","False","False","2025-10-27T04:39:38Z","2025-10-23T23:28:15Z"
"tests\test_chained_detector.py","19689","491","479B34E7F4CE3CB7AF331E8CEC2ECD432D9888B4","False","False","2025-10-27T04:39:38Z","2025-10-24T01:26:30Z"
"tests\test_characterization.py","6488","188","1D03276036EC453DC1E8EA02705C2524702E2130","False","False","2025-10-27T04:39:38Z","2025-10-26T19:37:16Z"
"tests\test_parsing.py","9986","244","26526FA177428814DC955AB7F3798B52846AFBC3","False","False","2025-10-27T04:39:38Z","2025-10-24T01:36:08Z"
"tests\test_results_table_model.py","2488","83","13E074BFD664FEE3797313A26DAE355C7D91CC76","False","False","2025-10-27T04:39:38Z","2025-10-26T19:29:47Z"
"tests\test_settings_dialog.py","18021","553","0A672B77D7A17D6D05660D54FA7912FA68464FEA","False","False","2025-10-27T04:39:38Z","2025-10-26T19:17:00Z"
"tests\test_tracks_table_model.py","4042","109","496E294F057C9BA5CEE46FB7D013264810E91C99","False","False","2025-10-27T04:39:38Z","2025-10-26T19:31:07Z"
"tests\test_wav_reader.py","6708","209","0C4BD9FF298124CABADC26B185C0D47842F91C49","False","False","2025-10-27T04:39:38Z","2025-10-25T00:59:11Z"
"tests\test_worker_manager.py","4166","147","E793F4761DA9401041CA6FF62BCC39A90BE5D231","False","False","2025-10-27T04:39:38Z","2025-10-21T13:30:53Z"
"tools\bootstrap_and_finalize.sh","2881","90","96AB6A7059FB242C69DCD4A69ABD61D83552A78F","False","False","2025-10-27T04:39:38Z","2025-10-21T03:53:48Z"
"tools\bootstrap_finalize.sh","1675","48","3535E4DF861B99303513FF3ABACAC4F8513F358F","False","False","2025-10-27T04:39:38Z","2025-10-21T03:37:25Z"
"tools\build_resources.py","2349","71","E18EAE19D1E4E1429F18A524463DE7694CE861ED","False","False","2025-10-27T04:39:38Z","2025-10-23T23:28:39Z"
"tools\finalize.sh","2654","94","621979FA74DFBDBC14E95901B74B324FFF8D3C00","False","False","2025-10-27T04:39:38Z","2025-10-21T03:27:05Z"
"tools\check.sh","1359","43","9D0046C96FF2AD2DC173AEAF6C128A25BA4D50A8","False","False","2025-10-27T04:39:38Z","2025-10-26T03:37:24Z"
"ui\__init__.py","2326","88","5845084216A56C6992C945BFC882BC7C2CAAA09B","False","False","2025-10-27T04:39:38Z","2025-10-26T19:38:33Z"
"ui\_icons_rc.py","705","23","F8EAB9E7DA51448CC7BFBEB03F3286FA646CC925","False","False","2025-10-27T04:39:38Z","2025-10-23T23:28:15Z"
"ui\config_models.py","2026","58","CC117F16F7098E7E580E0B7E4330B8FB3DC89148","False","False","2025-10-27T04:39:38Z","2025-10-26T18:59:37Z"
"ui\constants.py","1700","51","95AD80FB02D0E9101794CC7E315FF54D01E20892","False","False","2025-10-27T04:39:38Z","2025-10-26T02:09:57Z"
"ui\delegates\__init__.py","0","1","DA39A3EE5E6B4B0D3255BFEF95601890AFD80709","False","False","2025-10-27T04:39:26Z","2025-10-22T23:11:09Z"
"ui\delegates\action_cell_delegate.py","3311","99","768B695F363B07D525D9DECC9FEC59BE6136855F","False","False","2025-10-27T04:39:38Z","2025-10-23T23:28:15Z"
"ui\dialogs\__init__.py","0","1","DA39A3EE5E6B4B0D3255BFEF95601890AFD80709","False","False","2025-10-27T04:39:26Z","2025-10-18T23:37:16Z"
"ui\dialogs\settings_dialog.py","4679","130","9EEFA3CAB63944648BE67BF5187DCC4EBCA0D3BA","False","False","2025-10-27T04:39:38Z","2025-10-26T19:16:11Z"
"ui\main_window.py","18788","471","2B26F0AAB0420ADF649E6150C038F61907CC5493","False","False","2025-10-27T04:39:38Z","2025-10-26T03:11:13Z"
"ui\models\__init__.py","0","1","DA39A3EE5E6B4B0D3255BFEF95601890AFD80709","False","False","2025-10-27T04:39:26Z","2025-10-18T23:17:41Z"
"ui\models\results_table_model.py","6345","167","7EB459F8666A0E44EB1565683E7018DB5A93061A","False","False","2025-10-27T04:39:38Z","2025-10-26T19:26:30Z"
"ui\models\tracks_table_model.py","8677","212","79A3E153EBC31543FB1AA9666B9D6DCFFB3E5D1B","False","False","2025-10-27T04:39:38Z","2025-10-26T19:27:56Z"
"ui\theme.py","5975","169","0EAD193D8FAB7DF940E36BAAA0029939F7380764","False","False","2025-10-27T04:39:38Z","2025-10-23T23:28:15Z"
"ui\widgets\__init__.py","38","3","FFB89DE06D996C8739EE11C7E42B83845A7C1878","False","False","2025-10-27T04:39:38Z","2025-10-26T20:52:25Z"
"ui\widgets\settings\__init__.py","198","10","B1F876B23E89E0B871F92DF0D6DA5D14B76FA8BE","False","False","2025-10-27T04:39:38Z","2025-10-26T20:52:39Z"
"ui\widgets\settings\groups.py","11548","339","CE94D94BE47B7D819190EFFA12977F98EC162373","False","False","2025-10-27T04:39:38Z","2025-10-26T21:01:36Z"
"ui\workers\__init__.py","0","1","DA39A3EE5E6B4B0D3255BFEF95601890AFD80709","False","False","2025-10-27T04:39:26Z","2025-10-18T23:31:25Z"
"ui\workers\analysis_worker.py","1573","45","914193FACE661E375BD5B87266C6A0B465FDD070","False","False","2025-10-27T04:39:38Z","2025-10-21T14:19:06Z"
"ui\workers\worker_manager.py","1972","60","9C0BB72FFD89D36D35B4E6F51CD2B5BF664D4484","False","False","2025-10-27T04:39:38Z","2025-10-21T14:19:20Z"
